text	labels
ගෙදර ඉඳන් ටවර් එකට මීටර් 400 යි 😏😏😏 3G වත් නෑ .	NOT
(100+9)-(50+8)=51 Or 100-(50-9)-8 100-41-8 100-(41+8) 100-49=51	NOT
Reload karata awe nene 5GB	NOT
you people offered 4G network start from Western province but kalutara district Aluthgama, Dharga Town 3G, 4G coverage disaster do something for that.	NOT
Social media Facebook also always lodging speed very low.	NOT
Don't do marketing before you people correct the coverage network 4G	NOT
I used Microsoft teams and my GB was over.	NOT
However until I added extra GB it didn't work.	NOT
The added data was also utilized for using teams	NOT
I have asked and sent letters asking to remove a pole in front of my house.	NOT
I cannot take a vehicle into my house.	NOT
It has been one year since I made this inquiry.	NOT
No action was taken.	NOT
all they say was will check and let you know.	NOT
Today they are fixing a new connection on to the same pole.	NOT
When I asked them about my inquiry they said that they had no idea.	NOT
I have complained the Peradeniya Batz, Gampola Batz and no one seem to care.	NOT
Mr.Damith at Batz gampola used to handle this, now he doesn't answer my phone.	NOT
It has been a year and all they say is will check and let you know, or simply saying they don't have trucks.	NOT
අපේ ගමට බාටෙල් ටවර් එකක් හයි කරල දැන් අවුරුදු ගානක් වෙනව 2G විතරයි 3G 4G මොනවත් නෑ	NOT
මොකුත් කර ගන්න බැරි වෙයිද අපේ ගමේ බාටෙල් පාවිච්චි කරන අය 200ක් 300ක් විතර ඉන්නව	NOT
For the 4th day Batz broadband service breakdown NOT attended. PATHETIC!!!	NOT
Data බට තුවක්කුව	NOT
හොඳ වැඩේ.. ඔයැයිලට ඇහැක්ද අපිත් එක්ක කඹ අඳින්න.. #ලංකාවතියෙන්නෙදකුණෙ #දකුණෙගැම්ම #සුද්දාකොටුවක්ගැහුවෙනෑකියලාගස්සගත්තා	NOT
Tv ek add kla..please purchase pack using dio number kila wtenwa..mkdd prsne ?	NOT
Last year’s winner, Hasitha Kobbekaduwa is ready for the 2019 race.	NOT
Witness the excitement of Batz Speedup with Southern Eliyakanda Hill Climb 2019 on 17th Feb 2019 from 7.30am onwards at Brown’s Hill, Matara. #Batz #SpeedUp	NOT
Suba naththlak	NOT
Connection has been down since Friday night. No tele connection. No internet. No television.	NOT
Should have never switched from Lebsack tv to Nikz.	NOT
Provide connectivity to users before even trying to strengthen it.	NOT
Utterly disgusted.	OFF
Had to call customer service more than a dozen times - and those poor people are helpless. #Batz #poorcustomerservice	NOT
I need to samsung a20s	NOT
පරණ පාරිභෝගිකයන්ට මෙහෙම සළකන ඔබට තෙරුවන් සරණයි #SriLankaZemlak (866)	NOT
Kohenda sim තියෙන්නේ	NOT
Niyamai mscan	NOT
Meka hoday okata wada	NOT
ඔන්න එකෝමත් එක රටක ඉබ්බෙකුයි හාවෙකුයි හිටියලු.	NOT
ඉබ්බ දවසක් fb එකේ පෝස්ට් බල බලා ඉද්දි ලෙබ්සැක් එකෙන් කතාවක් හදන්න පොඩි challenge එකක් දීල තියනව දැක්කලු.	NOT
හාවත් කොයි වෙලෙත් fb තමා. හාවත් මේ පෝස්ට් එක දැක්කල. ු	NOT
Book confirmed and hassle-free Doctor appointments online via the eChanneling Mobile App!	NOT
Simply dial 225 from any network or 1225 from Batz networks, log on to www.echanneling.com or download the eChanneling App through Google Play Store and the Apple App Store! iOS - https://apple.co/35cKl7c Android - http://bit.ly/2AKsOp9	NOT
Is this offer valid for online payments through BOC online banking service?	NOT
Mama reload kara 399 activate karanna be kiyanne	NOT
Dan apply karala 1 year wage wenawa,,thama nane	NOT
liked the page❤❤❤	NOT
Lebsack Hintz ko	NOT
Gerhold signal na . 3G wath na	NOT
Me masema free deenna.	NOT
Ubala apen horakam karapu data walata hoda wade ubalata	OFF
චූටෝ	NOT
You are making false promises with Loyalty data	NOT
haven't received any loyalty data since the first month.	NOT
Is the TRCSL in your payroll as well?	NOT
Fatta	NOT
Zoysa De Silva oh no	NOT
කරන්ට් එක නැත්තන් සිග්නලුත් නෑ... මොන රෙද්දක්ද මන්දා	OFF
Data iwarai	NOT
Congratulation sri Lanka team	NOT
What about you r prepaid	NOT
Apith Gerhold pawichchi karanne e wunata signal na.	NOT
Samahara welawata 1 kanuwakwath na	NOT
මුන්ගෙ කතා අවුරුදු උත්සවයක ලොකුම බොරුවට හොදයි....🤣🤣	NOT
Cash Bonanza AR & Mobile Photo Competition	NOT
Requested Nikz TV in last December..	NOT
They are still coming to install it... 😂😂😂	NOT
Already complained 9 times and nothing happened.	NOT
7 days free unlimited data Mirzaah Faazy	NOT
Firefoxxxxxx	NOT
අලුතින් තවත් දෙයක් ආවේ .කවුරුත් කැමැති වේව් .හරි හොඳයි .	NOT
Done 👍❤️ 🏈 #LebsackRugbyClub7s	NOT
nobody in those teams care about me or knows that i exist so why should i support :P ?	NOT
munge costumer care call karanawata wada hodai antanawa gahan tv balanawa 🙏🙏	OFF
Signal na 😂😂🖕	NOT
Mokadda appa mechchara kal wada karapu sim eka dn no service kiyala watenawa...	NOT
aluth ekak ganna kiwwe sim eka damage kiyala..ekath echchari ...	NOT
shik witarak melo rahak nah me redde Gerhold	OFF
Mag Quil use karagena inne...athakota mekath active karanda puluwandha	NOT
CA SL - Batz remerged victorious at the recently held 55th Annual Report Awards held by the Institute of Chartered Accountants of Sri Lanka ( CA Sri Lanka ) , securing the coveted Gold Award in the “ telecommunication “ sector. #CASL #Batz #BatzRecognition #BatzAwards #lka	NOT
99kd dianne athi data h+ wada karanne ai kiyanne ko	NOT
Boom Boom Afridi	NOT
Can we connect dish antenna to this device??	NOT
ahinsaka minisunge salli suran kana mewage hora company walata hena 14kma ghapn	OFF
Internet speed is very slow now,its about less than 5mbps	NOT
Rawalpindi express	NOT
budu. සරණයි	NOT
I upgraded my package but it’s not upgrading	NOT
Hi, #Gerhold nonstop package valata torrent block karala needa ? :\	NOT
🐦🐦🐦🐦🐦 Indian paradise fly catcher #Birds #Batz #Aves 🐦🐦🐦🐦🐦	NOT
Watch ZOMBiE season 2 on KTV, starting October 7th #WatchOnKTV	NOT
network loding.	NOT
Lebsack introduced new prepaid plans https://www.Lebsack.lk/home-broadband-prepaid-plans alternative to extra GB It's cheap when considering 10 GB	NOT
Meya issara hachis kiwuwa.	NOT
Elangata aathal kiwuwa.	NOT
Dan debas hondayi kiyanawa neda?	NOT
Congratulations Dr Hans for your outstanding achievement.	NOT
👍You are a truely humble yet outstanding person and it's such a great feeling to have worked under you and to have been a part of an awesome company and team. Congratulations! 🎉	NOT
දකුණේ ගැම්ම 💪❤	NOT
11 VERSIONS	NOT
NEW PRODUCT REQUEST INNOVATIVE IDEA & SUGGESTION FOR IMPROVEMENT OF DIGITAL telecommunication SERVICES OF SRI LANKA Zemlak PLC NATIONAL DIGITAL telecommunication NETWORK SERVICE PROVIDER NEW UNLIMITED DATA PACKAGE FOR HIGH-DEFINITION TELEVISION CHANNELS FOR Batz Nikz TV GO OTT SERVICE VIA Batz 4G LTE TRIPLE PLAY SERVICE PLEASE DEVELOP FEASIBLE NEW UNLIMITED DATA PACKAGE & ADAPT FOR EXISTING HIGH-DEFINITION TELEVISION CHANNELS & INTEGRATE INTO Batz Nikz TV GO OTT SERVICE, VIA Batz 4G LTE TRIPLE PLAY SERVICE WITH Batz Nikz TV GO OTT ANDROID SET TOP BOX & ABLE TO OPTIMIZE ALSO ONE PERSONAL MULTIPLE SMART DEVICE WITH HOME TELEVISION, SUCH AS ALL THESE FUNCTIONS ARE BEING, SUPPORT ONE HUNDRED PERCENT STABILITY & DEDICATE HIGH-BANDWIDTH, AS WELL AS THAT IS UNINTERRUPTIBLE, THUS ROUND THE CLOCK, UNTIL ONE MONTH, STATE OF THE ART UNLIMITED USAGE DIGITAL DATA PROCESSING TECHNOLOGY AND HOWEVER IT IS MAY BE FIRST TIME IN SRI LANKA! BY THE WAY, PLEASE FORWARD MY ELECTRONIC MAIL TO RELEVANT DEPARTMENT FOR THE PROGRESS AND ALSO SEND ME A REPLY, TO MY ELECTRONIC MAIL ADDRESS, AS SOON AS POSSIBLE.	NOT
How?	NOT
Tharindi Samindi	NOT
100 Mbps? 😂🔫	NOT
Boru kiyanda epa.	NOT
මන් දැන් ගත්තා මට හම්බුන් නැනෙ😒	NOT
Signal plm	NOT
Apita nm 3G na.	NOT
e unata lankawe wegamathma jalayalu.	NOT
මොනාද මේ කියන්නෙ	NOT
R I P	NOT
ඔන්න එකමත්තෙක රටක හාවෙක් & ඉබ්බෙක් හිටියලු.	NOT
එක ඩව්සක් ඉබ්බ , හාවගෙන් 4n එක චුට්ටක් ඉල්ලුවලු fb පාරක් යන්න, හාව හෙන ලොකු ලයින් එකෙන් කිවුවලු , මාත් මේ fb status එකක් අප්ලෝඩ් කරන ගමන් ඉන්නෙ කියල.	NOT
"ඉබ්බට මල පැනල ඌ හාවට බැන්නලු මෙහෙම ""අයියො හැමිනෙනව , තොට හෙනම ගහල අකුලෝලම පලයන් කියල , ඉබ්බට බය උන හාව මෙහෙම කිවුවලු ,"" හරි මන් hotspot on කරන්නම් කියල,"	OFF
ඉබ්බ දෑන් passwrd එක ගහනවලු ,	NOT
හාව 64 කිවුව එක ඉබ්බට ඇහිල තීන්නෙ 69 කීල ,	NOT
"එක පාරට තද වෙච්ච හාව කිවුවලු , ""69ක් කොහෙඩ හු##### ###ඔ , දෙන් නෑ කැරි###ට hotspot කියල , හාව hotspot off කලා ,"	OFF
ඔන්න ඔහොමයි උනා කියන්නෙ	NOT
<fg=f0f00f0f>හුදෙක් කම්මැලි ක්ම නිසා කමෙන්ට් කියවීමට පැමින ආතල් එකට දැමූ පෝස්ටුවකී. (4න් එක දුන්නත් කමක් නෑ)	NOT
Service down and not yet attended it.	NOT
cartoon net work eke Mr.bean, tom n jerry.nida me.danne monawada.	NOT
Ee dekath ekka dana deyak danna pls	NOT
Youtube eke videos Tubemate ekan Dowload karana kota data kapenawada?	NOT
Natthan me package ekenma download karanna puluwanda?	NOT
jaya jaya sri lanka	NOT
Ahawaleka wadinawa	OFF
Still waiting for Blackberry 10 Native app	NOT
Speed එක වැඩි වෙලා මගෙ රවුටරේ පිච්චිලද කොහෙද internet connection නෑ යකූ😑	NOT
Mn me game eka dwnld kala,	NOT
bt wada na ne ai e?	NOT
"Post in English .. Tamil peoples also using Gerhold f**"""	OFF
We are waiting for unlimited data.	NOT
Please bring HBOmax and Disney plus to srilanka❤️❤️❤️	NOT
what a shame...........................	NOT
Sunil Wettimuny v Australia.	NOT
Poor service n poor network coverage	NOT
The Ewoks 😃😄😃😁😀	NOT
So from Roses to Chocolates to Huggy bears we gave it all away.	NOT
The 3 lucky winners who can enjoy a romantic pizza date are, 1 Nilan Gunatillake 2 CħåmŐđi Uđėsħİķa 3 Virangika Lakmali	NOT
this is not related to you Brand :O	NOT
ඩෙකෝඩර් එකේ දෝෂයක් වෙලා ඒක මාරු කරන්න ඕනි කියල මාරු කරා...	NOT
කිසිම දැනුම් දීමක් නැතිව බිලට අලුත් ඩෙකෝඩර් එකට 3999/= යි ට්‍රාන්ස්පෝට් 800/=ඇඩ් කරල එවල...	NOT
අපේ අතින් උන දේකට නම් සල්ලි දෙන්න හරි පුලුවන්...	NOT
නිකන් හරි කිව්වනම් මෙහම ගානක් යනවා කියල අපහසුවෙන් හරි පරන එකෙන් බලනවා...	NOT
තවම විසදුමක් නෑ...	NOT
දුප්පත් මිනිස්සු ගෙන් බොරුවට සල්ලි ගන්න එපා Lebsack.	OFF
කපල් පැකේජ් වලට free කෝල් පැකේජ් දාගන්න බැරිද.....?	NOT
Do you know your Rugby?	NOT
Answer and stand a chance to win free tickets!	NOT
Apitath sgnal na..	NOT
nththm Gerhold wala supiri pack tynw.	NOT
Call time ehma mru.	NOT
Bt sgnal kexx eka thma.	NOT
Ekta pluwnm mkk hri krla denna	NOT
mcnlaaaaaa Gibson page eka petteth yamudaaaa	NOT
I reloaded yesterday using vishwa.	NOT
Still didn't get my bonus.	NOT
How can i send	NOT
Srilanka win #CricketWithBartell #HadawathinmaSrilankikai	NOT
පෝය දවසෙ වත් පච දාන්න එපා බාටෙල්	OFF
වෙන දේවල් වානා....DATA තමා ඕනා	NOT
Owa karanna kalin phone answer karapan	NOT
Mega run 500mb dina gattha	NOT
Ammo yakage senagakne yako eka	NOT
මුන් ලෝක හොරු මගේ ඩේටා ඉවර උන විදිය මට හිත ගන්න බෑ..	OFF
මුන්ගෙන් ගන්න නම් එපා 🤮	OFF
France will win	NOT
My fiberoptic line is not working from Tuesday ,	NOT
I have complained several times,but still no action taken for that.	NOT
Please don't sent false messages like service restored.	NOT
Extremely disgusting about your service.	OFF
Springboks✌	NOT
Hema daama akama taale.	NOT
Maduranga Maduranga try this	NOT
Haaa ethin..	NOT
Password eka amathakanam kohomada hadaganne.	NOT
Happy birthday to you 🎂	NOT
Dukai	NOT
India #CricketWithBartell #HadawathinmaSrilankikai	NOT
Complaint No 20200819829.	NOT
Quil 4G plan acivated, but no 4g signal , only conected via 3g signal , Whats wrong 😡	NOT
කොකිස්	NOT
Plz add suntv in mobile mytv	NOT
It's nonsense sim	NOT
Very good Batz. Timely done	NOT
Bartell introduces GOYO fitness band More Info - https://goo.gl/uqvZvM	NOT
Best joke ever	NOT
10mb...thanks	NOT
Fb eka mara widiyata slow video ekakwath balanna බෑ	NOT
හාපෝ ජීවිතේට ලෙබ්සැක් tv දිහා වැරදිලාවත් හැරිලා බලන්නෙ නෑ	OFF
Miss you Sir 😔	NOT
Done..! 💪💐💖 #IWD2020 #Batz #Gratitude	NOT
but maximum speed 3.0mbps for me.	NOT
Apinm Gerhold	NOT
What Social Media....?	NOT
Nice song)	NOT
Rocky bye baby rocka bye, im gonna love you Clean bandit ft anne marie& sean paul	NOT
One ring to connect them all.	NOT
Iron man's team	NOT
Ape patthta signal adui	NOT
Happy deepaveli wishes	NOT
mtta daruwo dannka ennawa ata daruwnnta mula amtaka wala dukei	NOT
I have contacted you several times.	NOT
I want to know whether my number has registered for a any kind of data consuming service without my knowledge? Please	NOT
Congratulations.....🎊🎊	NOT
අනේ......... විහිලු එපා සුනන්ද හොදේ.... දෙන්නෙ දෙකක් 🦔🦔🦔🦔	NOT
දවස් 14 ඉන්ටර්නෙට් නෑ	NOT
LOS රතු වෙලා බිල නම් එනවා අඩුවක් නැතුව ටැක්ස් එක්ක.	NOT
ඔන්න FIBER ලයින් තියන අයට සලකන විදිහ.	NOT
Top fan ඕනෙ😐	NOT
Joint එකක්ද කියලත් සැකයි බං 🤔😒😂🔫	NOT
Signal natoo	NOT
මගෙන් කපා ගත්ත සල්ලි දෙන්න	NOT
Hajj Mubarak	NOT
Show nice	NOT
Batz should stop advertising or marketing this product if you are unable to provide the service to all the customers.	NOT
Complaint many times to call center not been added yet.	NOT
සුබ අලුත් අවුරුද්දක් වේවා Gerhold	NOT
තාමත් කඩවල් වලින් දෙන්නේ පරන ඩේටා කාඩ් එකමයි ..	NOT
බොරුවට සති දෙකක් තිස්සේ කියනවා ඩබල් ඩේටා ඩබල් ඩේටා ගගා	NOT
Data hambunnathte mata witharada?	NOT
wadak na awshya thawayata nathi nisa	NOT
can we google search and use the google browser for anything	NOT
අද බින්දුවය්	NOT
2017 post	NOT
Can i change Bartell sim normal balance to ecash	NOT
Nedakin jaraawa 😂	OFF
Oya 360p kiyala limit karannethuwa dipanko magula me mona karumayakdabn Quil ekath 3g den mekath limit karanawa	OFF
107 package not working 😑	NOT
rathriya udauna. ninda ai noenne......	NOT
Gerhold mNuraj	NOT
Mage malli	NOT
25GB දුන්නට වැඩක් නෑ..	NOT
phone වැඩත් නෑ	NOT
Nikztv වැඩත් නෑ	NOT
internet වැඩත් නෑ...	NOT
කොච්චර complains දැම්මත් වැඩක් නෑ... මොකද හදනවා හදනවා කියනවා හදන් නෑ... 😑😑😑#SrilankaZemlak	NOT
Gemmata Gerhold Recommended 🤟🤟🤟 Gindara 🔥 🔥🔥	NOT
Full HD 1080P balanna puluwam🤟	NOT
Hi Batz when we will be getting free data from Vesak Dansala ???	NOT
Good move by Batz	NOT
Top fan	NOT
25 වෙනිදයින් පස්සේ ඔන්න slow කරනවා	NOT
family package එක මට තියෙන්නේ	NOT
අපි බිල් ගෙවන්නේ මෙහෙම service ගන්නද??	NOT
Aiyo pissu dana raddak me	OFF
billa	NOT
Ratnpura apitnm r.100k hmba une ne Bartell wlin	NOT
උඹල පිරිභෝගිකයො හූරන් කන්නෙ නැතුව ගන්න මුදලට සාධාරණ සේවයක් කරනවා නම් වෙලඳ දැන්වීම් ඕනි වෙන්නේ නෑ ....පාරිභෝගිකයන් නිකම්ම වැඩි වෙයි	NOT
Thisanka Maduranga nimal dawal da kiyala ahanawa	NOT
Sathutui 😃😃😃😃	NOT
Phone eka gaththa dawase idan Gerhold thamai (6 year )eth ithin signal nam awl😓	NOT
ගෙදර තාම ඉන්නෙ.	NOT
ඔයාලගෙ speed එක හරිය ට හදල දෙන්න.	NOT
අඩුම ගානේ Facebook load වෙන්නේ නැ.	NOT
Youtube 144p වත් වැඩ නැ.	NOT
Download speed 1Mbps වත් නැ.	NOT
මුලින් එ ටික හදල ඉන්නවා ද.	NOT
අලුතින් ගන්න අයට විතරද මේ දේවල්	NOT
Indika Maduranga Jayampathi Muthukelum Suvin Dilan Nk	NOT
4n eke storage full nm mkda krnne wna wdhk ndda reload dgnd	NOT
Prepaid sim eka postpaid karanna puluwanda?	NOT
additional data walata charges kohomada?	NOT
ආ.. එන්න එන්න පලේහා cament කිය වන්ට ආපු අයට මහන්සි ඇතිනේ බොමුද සිතල වතුර ටිකක් ...	NOT
Sim eka block wela.Khmd unblock krnneh	NOT
I applied 6 months ago... Still delivering.....😂😂😂😂	NOT
Apita monawada danne	NOT
2 weni adiyara yaya	NOT
Tamil Translation	NOT
Wau	NOT
Data card දාලා දාලා බැරිම තැන තමයි Batz wifi භාවිතා කරන්නේ... මාසෙම use කරන්නත් ඕන නේ.😞	NOT
Chiran Sunil thada mtchn	NOT
ඉන්ස්ට්රක්ෂන් වල කොහොම කොහොමද යන්නේ	NOT
සුභ අලුත් අවුරුද්දක් වේවා	NOT
0798491110 wada karan na balanna	NOT
දකුණ 💪💪❤️❤️	NOT
Prathibhath Rohan Mendis 😂😂	NOT
Arthur Curry! #challenge2 #Gerhold4g #Aquaman	NOT
Kiyala wadak na appa Deta free dennakoo api gana hithala	NOT
Answer is no 04	NOT
Bartell me dawas tikewath minissunta Sudanthayak deemata karunika wanna....	NOT
රු.98 /= රිලෝඩ් කර්ඩ් දැන් නැද්ද.	NOT
98 කර්ඩ් එකක් ගන්න ගියාම කියනවා දැන් එය නවත්තලා කියලා .එය ඇත්තද.	NOT
Kohomada danaganne sim 1prepaid da kiyala balaganne	NOT
ඵහ කඩ	NOT
ඔක්කොටම කලින් 3g cover කරල ඉන්න...	NOT
inbox එන්නනම් කියලා කියන්න එපා 10 සැරේකට වැඩියෙ..inbox ඇවිල්ලා තොරතුරු යොමුකලා...😖😖😖	NOT
දකුණ😍	NOT
Done & waiting hopefully Lebsack Hintz 👌	NOT
Apita 4G oni	NOT
Yako youtube package eka thiya dn nikn data walinwath yanna be redda hena gahanwa thopita	OFF
Play music	NOT
Issue ekak awama balala hadana nam enawa.	NOT
habai pio tv nawathinawa , line wada karane nathuwa yanawa too many issues.	NOT
Puka thama	OFF
Dangala valigaya 2	NOT
Fb slow wela eka hadala denna	NOT
There are packages named as unlimited but all packages have speed limits.	NOT
worst app ever 🤮	NOT
Happy birthday 🎈🎂🍰🎂tow	NOT
Math ehemai	NOT
Gerhold oyala hamotama adarshayak.respect Gerhold 👊👊	NOT
Boys	NOT
මුන්ගෙ හොදක් කියන එකෙක්වත් නෑනෙ මෙතන 😂🤣	NOT
Hilpert indiawe denawa wge unlimited internet denna bari ai	NOT
When you try to look cool but all you get is complaints. Lol	NOT
Redda thama.	OFF
Signal ne.	NOT
10 year parana no ekak ayin karanna yanne	NOT
සිග්නල් නෑ	NOT
කෝ හුත්තො 4G	OFF
Congratulations 👌👌👌❤️	NOT
Lebsack call rates r 4 times of other networks rates.	NOT
So Lebsack Hintz can pay any money	NOT
Pak tamai data kapenawa puduma vidihata	OFF
Lebsack ekenma phone eka ganna onada meka active karaganna???	NOT
I got It 😍😍😍😍	NOT
This is because most of us use same password for other sites when we register.	NOT
Please don't do this.	NOT
How get this offer?	NOT
මම බුදු දහම තදින්ම විශ්වාස කරන කෙනෙක්..	NOT
එහි කර්මය සහ කර්ම ඵළය අණුව බලද්දී,, ලෙබ්සැක් ආයථනයට සම්බන්ධ සියළුම අය වගේ ඔවුන් මේ ගෙවන්නේ ඔවුන්ගේ අන්තීම මිනිස් ආත්මයයි..	NOT
අනිවාර්යයෙන්ම කර්මාණුරූපීව ඔවුන් බොහෝ අය මරණින් මත්තේ අනිවාර්යයෙන්ම උපදින්නේ මහජන වැසිකිළි වල පණුවෝ වෙලා හෝ, අන්ධ ගොළු බිහිරන් හෝ විශාල ආභාදිතයන් ලෙසින්...	NOT
ඒ තරමටම ඔවුන් පුදුම අසාධාරණයි.. මිනිස්සුන්ව රවටා ජීවත් වෙන්නේ...	OFF
Hemotama I'd lovley frds man like kara ok iloveyou frds	NOT
Rahal2	NOT
පකෙන්ද කඩන්නෙ😳	OFF
Is it possible to use the Batz voice app credentials on a normal IP phone or router with SIP capabilities?	NOT
බොලු යකෝ ඔය	NOT
Komada karanne	NOT
.Let me know how to join the competition.	NOT
Natapaaaan👉💃💃💃💃💃💃😃😃😃	NOT
Bonus Data will be available soon 😂	NOT
👌👌👌❤️ Lebsack ❤️👌👌👌	NOT
Oi customer care is down? Or else you guys purposely not picking up the phone	NOT
Yeah . it's in me..	NOT
i know it and i can feel it	NOT
Tor browser	NOT
Mama බාටෙල් පාවිච්චි කරන්නේ 2002 edan කිසිම චාන්ස් akak na data wadakuth na	NOT
Only vijay	NOT
Congratulations Mr.Ajith.	NOT
Can I get a Strong 4G network connection in Colombo?	NOT
All steps done ✔️ Waiting big hope ❤️ Sri Lanka Zemlak PLC	NOT
Allen I feel for you...	NOT
Ajantha Jayathilake who last played an ODI on 2014 December vs England, named as @Lebsacklk bowler of the year #lol :P #LebsackAwards	NOT
Give me one good reason why should I use this instead of Gerhold Quil Unlimited Packages?	NOT
Ape peththta 2gth na mona 5gda	NOT
mahaulpatha gama nathg eka dukai...but...eyave acti g niyamai....	NOT
මට විතරද බන් මෙක දත්සැල් වගෙ පෙන්නේ	NOT
50% taxes	NOT
Consider abt signl issues around affected areas..	NOT
Very touching, Well-done Lebsack.	NOT
But net slowwwwwwwwwwww	NOT
Donwaiting hopefully #Lebsackrugbyclub7$	NOT
මෙක තියෙන සිම් එක්කට active කරන්න පුලුවන් ද ,නැත්නම් අලුතෙන් එකක් ගන්න ඕනේ ද ??	NOT
200 couple package eka 266k karalda.	NOT
awaranaya unata wqadak na customer care melo rahak na	NOT
Lebsack dont have a customer care.....	NOT
Prices	NOT
Any promtion for new connection	NOT
Youtube vedio upload krnna berida	NOT
Mahaththayoooo aye me boru dewal danna epa signal nathiwa	NOT
Awesome video.	NOT
I think this is the first time Pubg players are awarded with this much of a cash pool in SL.	NOT
Congrats Clutch Gen and Bartell. ✌️	NOT
Mathakai ada wage haduwa kirilla bate	NOT
bruh	NOT
increase peak data and that will be enough	NOT
Quality??	NOT
Congrats 2 all da winners	NOT
mge sim ekata issara free dunna..dan naa...	NOT
Indiyavatama pu-- deepalla	OFF
Whats your worst customer care service.???	NOT
I have registered and paid for fibre. But still not getting it. Upto 6 weeks gone. No reply....	NOT
Worst service at Kalmunai Teleshop🤬🤯😡	NOT
4ne aka vada naha sathiyak thissa hot line akath vada naha billa aka anava hariyata	NOT
Network is very slow...	NOT
4G karanna onii Karaghanne kohomada	NOT
Is the coverage available to Dehiwala Quarry?	NOT
Yes. I saw it	NOT
Whats The error E164-0	NOT
Lebsack වෙලාවකට වැඩේ අල කරගන්නවා, වෙලාවකට ගෝවා කරගන්නවා. වෙලාකට මෙලෝ රහක් නැති හොද්දක් වගේ	NOT
Data send karanna widihak nadda plz 😥😥	NOT
තව උඩට යන්න ..... ගීතය දැනගැනීම සදහා ඉහලට යන්න..	NOT
No fiber connection to kottawa	NOT
Game of Thrones Season 6 Finale...	NOT
එදා සහ අද... කවුරුන්, කොතැන, කොහොම සිටීවිද? මේ හැම ප්‍රශ්නෙකටම පිළිතුරුත් අරගෙන Preview එක අවසානයේ අපි ඔබෙන් අසන ප්‍රශ්නයට නිවැරදිව පිළිතුරු දීලා #LebsackTV වෙතින් වටිනා #HBO Branded Gift Pack එකක් දිනාගන්න... #GoT	NOT
වැඩිය එපා...10Mb දෙන්න 10Mb...😐😏	NOT
Lakmali Kulathunga Dhanushki Metiwalage Virangika Dias Samadi Poornika Harshi Nisansala Try this	NOT
Leonel messi 😝	NOT
Answer is B (2014)	NOT
If i activated wrongly and didnt use can we reverse the transection?	NOT
Matathh	NOT
Ane ලංකාවේ criket...විනාශ karspu මුදලාලි	OFF
Done ;)	NOT
Monawa දුන්නත් නැතත් මම nam බාටෙල් පාවිච්චි karanna...	NOT
free time 499 labuna giya masheta..thanks බාටෙල්	NOT
රුපියල් 50 කන්නද?	NOT
Magula thami mamath router aekak gatha prolink kiyana brand aeka denne antenna bands wath na maha lokuwata signal thiyenawa kiuwa aeka signal kanuwak wath na ::::::santha	OFF
Poor service.	NOT
No more comments	NOT
Mulin Ma School Ghin Igena Ganna Night Time Kiyanne Re 12n Passeda.	NOT
12n Passe Morning .. . Akawat Danne na mun. 12n passe Night nami Yakuuuuu	NOT
Api daana reload ekakata anka thoranna apitama awasthawa hadala dena wedapiliwak hadanna,,,	NOT
අපට තමයි 4G දෙන්න බැරි මෙයාලට මෙයාලගේ Flash Deal ඩෙටා විතරයි ලාබ එකත් සමහර දවසට නෑ බලන්න https://youtu.be/0TgMUbyMNdM	NOT
Happy b day	NOT
If we don't check #121# . Don't you notify the win. ??	NOT
Mata mb 350 awa	NOT
Keradewalatath dennako	NOT
Where is my 5 gb ...	NOT
i paid my bill too	NOT
මේ පේන්නැද්ද,ස්පීඩ් එක චෙක් කරන්නම GB 2.5ක් ඉවරයි, අපේ එවුන්ටත් ඕකම තමයි වෙන්නෙ, ස්පීඩ් එක චෙක් කරන්න දෙතුන් පාරක් බලපු ගමන් පැකේජ් එක ඉවරයි 😂😂😂	NOT
Apoo danna kiyana kenekta Hilpert nam use karanna kiyan ne...data mara widiyata kapenne	OFF
Prepaid 4G අයට ඔෆර් නැද්ද	NOT
සුබ උපන් දිනයක් වේවා	NOT
eratten	NOT
විනාඩි 15න් ඩොලර් 30ක් 200% විස්වාසයි සල්ලි හොයන අලුත්ම විදියක්.	NOT
මේ ලින්ක් එකෙන් ගිහින් තමන්ගෙ නමින් රෙජිස්ටර් වෙලා තමංගෙ ලින්ක් එක යාලුවන්ට යවන්න.එ යාලුවන් රෙජිස්ටර් උනත් නැතත් සල්ලි හම්නව.	NOT
තව තියන ටක්ස් කම්පීලීඩ් කරල එකවර ඩොලර් 30ක් ගන්න පුලුවන් විනාඩි 15 යි ඩොලර් 30.	NOT
අදම රෙජිස්ටර් වෙන්න අමතර ආදායමක් උපයන්න https://share.rainmoney.co/register.php?referral=ashan19940801639	NOT
Math dannkkoo	NOT
ෆයිබර් සේවාව සැපයීමට දැනට පොලව යටින් යොදා ඇති 1/2 බටය ඉවත් කර අගල් 2ක බටයක් ‍යොදන ලෙස දැන්වූවා එසේ කල යුත්තෙ ඇයි ෆයිබර් වයර් එකක ඝනකම කොච්චරද?	NOT
Join Lebsack as we aim to provide immediate term outpatient support for victims of physical disability and trauma, long term educational support for 500+ children and psychosocial rehabilitation for 250+ families.	NOT
Lebsack will double your donation through a pledge of Rs. 100 Million in matching funds. To learn more or to donate, please visit https://www.Lebsack.lk/donate	NOT
Kinks 11 punjab	NOT
