post_tokens,toxic_tokens,post_label
"['once', 'the', 'titanium', 'white', 'dominus', 'is', 'released', 'its', 'over', 'for', 'you', 'hoes']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', '<user>', 'you', 'do', 'not', 'support', 'the', 'queer', 'community', 'and', 'u', 'are', 'a', 'homophobe', 'unless', 'you', 'listen', 'to', 'it', 'let', 'that', 'sink', 'in']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['not', 'to', 'be', 'dramatic', 'but', 'i', 'think', 'this', 'contributed', 'to', 'me', 'being', 'put', 'off', 'reading', 'bc', 'the', 'majority', 'of', 'these', 'spaces', 'feel', 'the', 'exact', 'same', 'as', 'straight', 'women', 'lauding', 'over', 'wanting', 'gay', 'men', 'as', 'best', 'friends', 'while', 'shunning', 'lesbians']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['you', 'can', 'not', 'make', 'a', 'hoe', 'a', 'housewife', 'boycott', 'mafs', 'mafsau', 'mafs']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",offensive
"['<user>', 'mad', 'because', 'you', 'keep', 'getting', 'busted', 'on', 'your', 'indoctrination', 'of', 'democrat', 'history', 'or', 'because', 'you', 'are', 'trying', 'to', 'rewrite', 'black', 'history', 'that', 'exactly', 'what', 'the', 'jim', 'crow', 'dems', 'did', 'racist', 'ass', 'white', 'boy']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['is', 'it', 'weird', 'that', 'i', 'do', 'not', 'mind', 'the', 'anti', 'semitism', 'that', 'i', 'have', 'seen', 'on', 'gab', 'use', 'of', 'the', 'word', 'kike', 'never', 'had', 'any', 'weight', 'to', 'me', 'also', 'there', 'only', '<number>', 'million', 'of', 'us', 'in', 'the', 'world', 'and', 'billions', 'hate', 'us', 'how', 'can', 'we', 'control', 'anything']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['roflmao', 'i', 'never', 'said', 'i', 'thought', 'you', 'were', 'kike', 'only', 'that', 'the', 'mud', 'loving', 'language', 'you', 'use', 'is', 'a', 'kike', 'lie', 'can', 'you', 'read', 'cunt', 'i', 'gave', 'you', 'pegged', 'and', 'your', 'laborious', 'effort', 'to', 'squirm', 'out', 'is', 'quite', 'evident']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['how', 'to', 'keep', 'people', 'out', 'the', 'lab', 'play', 'nigger', 'music', 'over', 'the', 'lab', 'speaker']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",hatespeech
"['finna', 'block', 'this', 'nigga']","[0, 0, 0, 0]",normal
"['here', 'is', 'the', 'thing', 'you', 'can', 'love', 'or', 'hate', 'whoever', 'you', 'like', 'they', 'certainly', 'do', 'not', 'all', 'jews', 'are', 'bad', 'not', 'all', 'whites', 'are', 'good', 'but', 'there', 'is', 'definitely', 'an', 'agenda', 'that', 'i', 'see']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['blue', 'jeans', 'white', 't', 'shirt']","[0, 0, 0, 0, 0]",normal
"['young', 'niggas', 'went', 'sideways', 'when', 'they', 'stopped', 'listening', 'to', 'they', 'barbers', 'uncles', 'and', 'pastors']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['i', 'can', 'not', 'believe', 'this', 'white', 'man', 'called', 'me', 'discriminatory', 'because', 'i', 'would', 'not', 'let', 'him', 'and', 'his', 'entitled', 'family', 'board', 'first', 'lol', 'i', 'can', 'not']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['voting', 'makes', 'a', 'difference', 'you', 'want', 'proof', 'the', 'people', 'of', 'california', 'voted', 'against', 'gay', 'marriage', 'and', 'well', 'the', 'british', 'what', 'left', 'of', 'them', 'voted', 'for', 'brexit', 'and', 'that', 'happening', 'right', 'oh', 'wait']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', 'goad', 'is', 'sharp', 'and', 'has', 'an', 'ear', 'for', 'the', 'language', 'i', 'keep', 'trying', 'to', 'pull', 'myself', 'from', 'interacting', 'with', 'long', 'gone', 'progressives', 'in', 'the', 'f***book', '<censored>', 'ghetto', 'and', 'write', 'for', 'publication', 'to', 'sway', 'people', 'who', 'are', 'open', 'to', 'reason', 'instead']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['you', 'niggas', 'just', 'scared', 'ain', '’', 't', 'nothing', 'dead', 'about', 'the', 'trap', '😏']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['never', 'cared', 'about', 'what', 'another', 'bitch', 'got', 'going', 'on']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['the', 'refugee', 'boats', 'are', 'beginning', 'to', 'arrive', 'from', 'twitter', 'now', 'the', 'leftists', 'are', 'cyber', 'bombing', 'virtual', 'communities', 'too', 'so', 'the', 'real', 'land', 'of', 'libya', 'was', 'not', 'enough', 'destruction', 'and', 'chaos', 'for', 'them', 'hope', 'the', 'freehold', 'of', 'gab', 'can', 'handle', 'the', 'influx', 'of', 'refugees', 'gabfam']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['expose', 'them', 'racists', 'homophobes', 'islamophobes', 'etc', 'on', 'social', 'media', 'dont', 'be', 'shy', 'expose', 'them', 'all', '🤩', '🤩']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['like', 'literally', 'what', 'the', 'actual', 'fuck', 'i', 'am', 'so', 'mad', 'at', 'this', 'this', 'meme', 'is', 'stupid', 'having', 'nazi', 'and', 'shit', 'but', 'literally', 'says', 'trans', 'fucking', 'niggers', 'this', 'already', 'giving', 'me', 'blackface', 'vibes', 'like', 'this', 'is', 'crossing', 'the', 'line', 'between', 'being', 'a', 'black', 'person']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', 'are', 'you', 'a', 'bif', 'daft', 'several', 'muslim', 'countries', 'have', 'been', 'carved', 'out', 'of', 'india', 'ffs']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['abortion', 'illegal', 'aliens', 'open', 'borders', 'food', 'stamps', 'gay', 'marriage', 'etc', 'etc', 'all', 'found', 'in', 'the', 'constitution', 'the', 'right', 'to', 'bear', 'arms', 'not', 'so', 'much', 'all', 'libtards', 'should', 'be', 'gassed', 'democrat', 'doug', 'jones', 'the', 'second', 'amendment', 'has', 'limitations', 'breitbart', 'news']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['most', 'western', 'europeans', 'would', 'rather', 'be', 'killed', 'or', 'raped', 'not', 'a', 'play', 'on', 'words', 'or', 'a', 'euphemism', 'or', 'have', 'their', 'children', 'killed', 'or', 'raped', 'by', 'evil', 'muslim', 'invaders', 'then', 'be', 'called', 'a', 'racist', 'bigot', 'xenophobe', 'or', 'islamaphobe', 'cultural', 'marxism', 'schooling', 'has', 'brain', 'washed', 'them', 'into', 'submissive', 'spineless', 'pussies']","[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['<user>', 'so', 'now', 'trump', 'cares', 'about', 'american', 'immigrants', 'bogus', 'gop', 'agendas']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['dear', 'b', 'o', 'b', 'nigga', 'fuck', 'you', 'too', 'dont', 'nobody', 'gaf']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['good', 'reasons', 'why', 'not', 'to', 'mudshark']","[0, 0, 0, 0, 0, 1]",offensive
"['<user>', '<user>', 'democrats', 'logic', 'imagine', 'democrats', 'in', 'charge', 'of', 'our', 'country', 'we', 'all', 'going', 'to', 'feel', 'as', 'we', 'have', 'been', 'raped']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['debating', 'which', 'pro', 'whites', 'belong', 'in', 'the', 'alt', 'right', 'total', 'kike', 'behaviour', 'vox', 'day', 'is', 'this', 'generations', 'william', 'f', 'buckley']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['<user>', 'scared', 'for', 'right', 'wing', 'terrorists', 'who', 'are', 'in', 'hundreds', 'while', 'islamists', 'are', 'in', 'millions', 'yet', 'roam', 'free']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",offensive
"['comedy', 'how', 'about', 'you', 'upsize', 'your', 'life', 'by', 'getting', 'a', 'job', 'that', 'll', 'allow', 'you', 'to', 'get', 'a', 'nicer', 'house', 'chantelle', 'spit', 'that', 'donut', 'out', 'and', 'chew', 'on', 'that', 'one', 'for', 'a', 'while', 'retard']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",offensive
"['fmr', 'british', 'amb', 'to', 'syria', 'lays', 'into', 'bbc', 'over', 'syria', 'chem', 'attack', 'claims', 'in', 'all', 'probability', 'the', 'images', 'have', 'been', 'staged', 'the', 'bbc', 'does', 'not', 'allow', 'questions', 'of', 'important', 'detail', 'be', 'addressed', 'the', 'so', 'called', 'first', 'responders', 'white', 'helmets', 'are', 'a', 'jihadi', 'outfit', 'please', 'engage', 'your', 'brain', 'syria', 'news']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",offensive
"['you', 'are', 'a', 'lady', 'uyasebenta', 'and', 'independent', 'you', 'drive', 'a', 'nice', 'car', 'you', 'own', 'a', 'nice', 'apartment', 'you', 'are', 'beautiful', 'and', 'fun', 'but', 'every', 'weekend', 'you', 'wake', 'up', 'with', 'a', 'different', 'guy', 'in', 'bed', 'cry', 'and', 'claim', 'you', 'were', 'raped', 'you', 'do', 'not', 'even', 'remember', 'having', 'sex', 'with', 'them', 'wtf', 'yini', 'lenkinga', 'i', 'am', 'lost']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['but', 'the', 'jews', 'did', 'not', 'believe', 'concerning', 'him', 'that', 'he', 'had', 'been', 'blind', 'and', 'received', 'his', 'sight', 'until', 'they', 'called', 'the', 'parents', 'of', 'him', 'that', 'had', 'received', 'his', 'sight', 'john', '<time>', 'faith', 'bible', 'god']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', 'o', 'mere', 'pseudo', 'liberal', 'there', 'is', 'diff', 'between', 'refugee', 'and', 'illegal', 'immigrant']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['i', 'do', 'not', 'see', 'how', 'one', 'the', 'historically', 'whitest', 'most', 'uptight', 'countries', 'in', 'the', 'world', 'can', 'suddenly', 'do', 'a', 'complete', '<number>', 'become', 'the', 'most', 'destructive', 'influences', 'on', 'islam', 'violence', 'denial', 'so', 'welcome', 'to', 'those', 'willing', 'to', 'speak', 'truth']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', 'do', 'not', 'you', 'e', 'girls', 'have', 'some', 'way', 'of', 'contacting', 'one', 'another', 'to', 'make', 'sure', 'you', 'do', 'not', 'get', 'raped', 'murdered', 'beheaded']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['so', 'much', 'anti', 'white', 'rhetoric', 'is', 'out', 'of', 'the', 'mouths', 'of', 'caucasians', 'will', 'say', 'it', 'again', 'if', 'they', 'preach', 'abolition', 'decimation', 'of', 'white', 'race', 'they', 'can', 'demonstrate', 'their', 'dedication', 'to', 'the', 'notion', 'by', 'committing', 'suicide', 'purify', 'their', 'beloved', 'globe', 'by', 'ridding', 'it', 'of', 'their', 'whiteness', 'we', 'will', 'take', 'it', 'from', 'there']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['<user>', 'crazy', 'man', 'really', 'dumb', 'stuff', 'soon', 'it', 'will', 'be', 'illegal', 'to', 'say', 'anything', 'bad', 'to', 'another', 'person', 'as', 'i', 'understand', 'if', 'you', 'call', 'foreign', 'person', 'and', 'illegal', 'alien', 'you', 'will', 'be', 'fined', '2', '5', '0', 'k']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', '<user>', 'i', 'didn', '’', 't', 'say', 'it', 'causes', 'violence', 'it', 'seems', 'to', 'promote', 'a', 'certain', 'lifestyle', 'tho', 'let', '’', 'not', 'pretend', 'it', 'doesn', '’', 't']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['stupid', 'fucking', 'white', 'trailer', 'trash']","[1, 1, 1, 1, 1]",offensive
"['anti', 'violence', 'laws', 'just', 'saved', 'a', 'white', 'man', 'from', 'my', 'nail', 'scratches']","[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0]",offensive
"['women', 'and', 'girls', 'it', 'has', 'been', 'confirmed', 'by', 'new', 'research', 'you', 'are', 'at', 'increased', 'risk', 'of', 'sexual', 'violence', 'in', 'target', 'stores', 'avoid', 'jps']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['the', 'only', 'weapon', 'you', 'have', 'to', 'defeat', 'the', 'bankers', 'is', 'the', 'threat', 'of', 'mass', 'violence', 'from', 'a', 'well', 'organized', 'group', 'driven', 'by', 'other', 'means']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['this', 'is', 'my', 'last', 'year', 'being', 'gay']","[0, 0, 0, 0, 0, 0, 1]",offensive
"['european', 'history', 'of', '<number>', 'years', 'speaks', 'with', 'one', 'voice', 'exterminate', 'the', 'jews', 'before', 'they', 'exterminate', 'you', 'whitegenocide']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",hatespeech
"['funny', 'you', 'should', 'mention', 'that', 'muzzies', 'believe', 'dog', 'saliva', 'is', 'filthy', 'according', 'to', 'mohamed', 'they', 'r', 'truly', 'vile', '🤣']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['frag', 'a', 'sand', 'nigger', 'for', 'jesus', 'it', 'the', 'right', 'thing', 'to', 'do']","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",hatespeech
"['had', 'dna', 'white', 'as', 'a', 'snow', 'the', 'way', 'you', 'write', 'i', 'see', 'hominids', 'smarts']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",offensive
"['my', 'dear', 'fellow', 'moslems', 'who', 'live', 'in', 'europe', 'you', 'need', 'to', 'understand', 'two', 'facts', '<number>', 'europe', 'has', 'never', 'in', 'history', 'accepted', 'your', 'so', 'called', 'prophet', 'and', 'your', 'religion', 'islam', '<number>', 'from', 'the', 'european', 'perspective', 'islam', 'is', 'just', 'superstition', 'of', 'uneducated', 'arabs', 'and', 'you', 'will', 'never', 'change', 'this', 'attitude', 'never']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['implying', 'i', 'give', 'a', 'fuck', 'about', 'beaners', 'and', 'commies', 'in', 'california', 'with', 'whom', 'it', 'impossible', 'to', 'share', 'a', 'system', 'of', 'government', 'with']","[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['<user>', 'and', 'i', 'suppose', 'the', 'sand', 'niggers', 'will', 'not', 'cut', 'off', 'heads']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",hatespeech
"['good', 'thing', 'she', 'can', 'not', 'you', 'are', 'still', 'a', 'cuck', 'and', 'she', 'still', 'a', 'coal', 'burner', 'aka', 'nigger', 'lover']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",hatespeech
"['blacks', 'and', 'even', 'muzzies', 'can', 'join', 'but', 'keep', 'their', 'shit', 'at', 'home', 'soon', 'as', 'they', 'pray', 'in', 'the', 'street', 'gotta', 'be', 'liquidated', 'we', 'got', 'better', 'tech', 'now', 'can', 'build', 'massive', 'biodigesters']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['<user>', 'so', 'the', 'nazis', 'at', '<user>', 'hate', 'free', 'speech']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['dont', 'buy', 'a', 'mouse', 'on', 'media', 'markt', 'fucking', 'niggers', 'giving', 'me', 'fake', 'logitech', 'mouse', 'turns', 'off', 'the', 'middle', 'of', 'the', 'ranked']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['<user>', '<user>', 'because', 'muslims', 'nice', 'americans', 'bad', 'wait', 'didnt', 'they', 'attack', 'us', 'never', 'forget']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['domt', 'worry', 'police', 'will', 'be', 'doing', 'gay', 'pride', 'you', 'cannot', 'punch', 'them', 'as', 'they', 'have', 'a', 'load', 'of', 'cameras', 'maybe', 'islam', 'should', 'turn', 'on', 'em', 'they', 'make', 'me', 'sick', 'they', 'are', 'common', 'purpose', 'wankers']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['show', 'named', 'game', 'of', 'thrones', 'you', 'all', 'think', 'it', 'da', 'game', 'of', 'dead', 'niggas', 'dumb', 'ass', 'niggas']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['also', 'your', 'asian', 'are', 'you', 'chinese', 'by', 'any', 'chance', 'here', 'is', 'mao', 'and', 'his', 'kike', 'rat', 'puppet', 'handlers', 'you', 'should', 'be', 'disgusted', 'with', 'the', 'vermin', 'too', 'who', 'are', 'responsible', 'for', 'the', 'deaths', 'of', 'millions', 'of', 'asians']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['stop', 'saying', 'hillary', 'clinton', 'lost', 'because', 'she', 'a', 'woman', 'the', 'corrupt', 'bitch', 'does', 'not', 'even', 'help', 'women', 'and', 'girls', 'banfgm', 'banslavery', 'maga', 'speakfreely', 'gabfam', 'trump']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['<user>', 'pakistani', 'women', 'who', 'act', 'woke', 'are', 'just', 'retarded']","[0, 0, 0, 0, 0, 0, 0, 0, 1]",offensive
"['she', 'also', 'asked', 'if', 'i', 'find', 'them', 'attractive', 'and', 'bitch', 'i', 'choked', 'and', 'was', 'like', 'uf', 'yeah', 'damn', 'omg', 'yes', 'yeah', 'my', 'fangirl', 'jumped', 'out', 'at', 'that', 'moment', 'and', 'she', 'didnt', 'understand', 'and', 'was', 'like', 'they', 'all', 'look', 'the', 'same', 'yes', 'ofc', 'karen']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['mike', 'enoch', 'got', 'his', 'ass', 'handed', 'to', 'him', 'by', 'a', 'kid', 'yid', 'today', 'his', 'debate', 'performances', 'are', 'worse', 'than', 'his', 'work', 'out', 'routine']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['catch', 'that', 'nigga', 'slipping', 'knock', 'his', 'chest', 'out', 'with', 'that', 'iron']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['i', 'should', 'write', 'a', 'comic', 'book', 'about', 'a', 'white', 'superhero', 'who', 'takes', 'a', 'woodchipper', 'to', 'a', 'ghetto', 'hospital', 'an', 'throws', 'all', 'the', 'newborn', 'niglets', 'into', 'it', '😹', '😹', '😹']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",hatespeech
"['i', 'hate', 'you', 'i', 'love', 'you']","[0, 0, 0, 0, 0, 0]",normal
"['how', 'can', 'you', 'blame', 'blacks', 'when', 'majority', 'of', 'the', 'state', 'is', 'white', 'why', 'do', 'not', 'you', 'throw', 'the', 'blame', 'on', 'white', 'republicans', 'that', 'decided', 'to', 'stay', 'home', 'with', 'their', 'conscious']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['why', 'would', 'he', 'attack', 'a', 'white', 'music', 'festival', 'the', 'suspect', 'is', 'some', 'gook', 'bitch']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",hatespeech
"['shocking', 'reports', 'as', 'i', 'have', 'learned', 'i', 'am', 'a', 'retarded', 'faggot']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",offensive
"['trump', 'silence', 'on', 'the', 'blmkidnapping', 'upsets', 'me', 'obama', 'is', 'expected', 'but', 'not', 'trump', 'i', 'thought', 'he', 'was', 'for', 'all', 'americans', 'or', 'like', 'our', 'gov', 'and', 'msm', 'everyone', 'except', 'white', 'and', 'disabled', 'americans']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['<user>', 'they', 'resisted', 'it', 'for', '<number>', 'years', 'along', 'with', 'the', 'nubeans', 'in', 'the', 'south', 'of', 'sudan', 'that', 'is', 'a', 'beautiful', 'and', 'remarkable', 'history', 'of', 'resisting', 'evil', 'i', 'gotta', 'tell', 'u', 'u', 'have', 'to', 'read', 'genesis', '<number>', '<number>', 'the', 'story', 'of', 'ishmael', 'and', 'u', 'will', 'see', 'arabs', 'today', 'perfectly', 'described']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",offensive
"['😂', '😂', '😂', 'so', 'now', 'there', 'is', 'straight', 'cancer', 'i', 'guess', 'there', 'is', 'homosexual', 'cancer', 'too', 'what', 'next']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",offensive
"['<user>', 'as', 'if', 'only', 'eating', 'pussy', 'is', 'what', 'makes', 'someone', 'a', 'lesbian']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['omg', 'another', 'niggar', 'dindu', 'read', 'this']","[0, 0, 1, 0, 0, 0]",offensive
